gene,wt_0_r1,wt_0_r2,wt_0_r3,wt_15_r1,wt_15_r2,wt_15_r3,wt_30_r1,wt_30_r2,wt_30_r3,wt_60_r1,wt_60_r2,wt_60_r3,wt_120_r1,wt_120_r2,wt_120_r3,wt_180_r1,wt_180_r2,wt_180_r3,mut_0_r1,mut_0_r2,mut_0_r3,mut_15_r1,mut_15_r2,mut_15_r3,mut_30_r1,mut_30_r2,mut_30_r3,mut_60_r1,mut_60_r2,mut_60_r3,mut_120_r1,mut_120_r2,mut_120_r3,mut_180_r1,mut_180_r2,mut_180_r3
SPAC227.09,7.404684578657956,7.554812662933628,7.792502181441854,7.584897861070676,7.508545582948257,8.216913307971799,7.071617321912424,7.931549388554578,7.606468463705886,7.37198361027271,6.910576651657534,7.2119289400343956,7.4413426875942825,7.542967234330478,7.7912394160549745,7.470057679694903,7.574770246258585,7.930643249597089,7.245607624467146,7.480747346872369,7.573645674332599,7.673041124627779,7.35991959096337,7.844989055100566,7.128474313852235,7.407968955812868,7.2314332160243175,7.066317200425674,7.573527678897517,7.427747301449376,7.353070137949156,7.57344570138488,7.370910736232382,7.294462107269538,7.237211127553559,7.825735159438358
SPAC227.10,8.700537325156716,8.547891506717914,8.5455750085749,8.854146257469845,8.934800659185944,9.075632443058437,8.756385094773227,8.546950986470844,8.444964269014985,8.489219662062139,8.57955010758283,8.389142655656325,8.762043593031242,8.96654387736164,8.494023490700856,9.009125254360596,8.708154256107656,8.367454625684001,8.791859276993193,8.88011881055901,8.527367433843361,8.829058837283704,8.94194743700967,8.707023573843967,8.563361024594782,8.764735571121971,8.335639385866603,8.666554562397746,8.642566542109908,8.261935974791644,8.736441630686937,8.556497574973681,8.666110704084844,8.830097119215939,8.580431884251295,8.586915519170384
SPAC227.11c,8.140524443671165,7.862284290611683,7.8399413114858225,7.910151501491116,7.8764493680215235,8.321510622301599,8.204336419608861,7.745091447515552,8.073775321266947,8.289931337936348,8.106091025744758,7.935174048421005,8.056955495518231,7.915146893711538,7.920914807519989,7.876167527900835,8.056076329049832,8.00875178807728,7.9345267402662705,7.897451467987218,7.893226613847012,7.890110221837062,7.954926326880106,7.646159026620221,7.885225541797786,7.608998307185262,7.7777067044009875,8.055380544217838,8.143915029414496,7.962978061802279,8.0067470185178,8.138375621599378,7.786282781130924,7.78316223630243,7.999950110264554,7.78249154641113
SPAC227.12,8.63535075724292,8.542692512977514,8.374279813465025,8.38128892444718,8.211939228192149,7.750598939307313,8.716553929120769,8.358896626678463,8.415376290255283,8.844546303823105,8.544049406907089,8.58362425678927,8.715589469480403,8.65461241310041,8.446528874901139,8.435149008724688,8.792943256294919,8.451021849070685,8.640243285323987,8.527596881208627,8.451905075267465,8.400300133892507,8.437940397847415,8.326144744444942,8.30374393749879,8.008052077339928,8.179771245737669,8.879977557885438,8.57650168751264,8.638789936750507,8.63927729125811,8.312932229140245,8.587818105912907,8.651547354180261,8.49414263015261,8.591911451699398
SPAC227.13c,8.667189532892872,9.283268623269684,9.379569384861368,8.398058937476597,9.257298548887444,9.734536292365807,9.142268472771624,10.027406736272434,9.743096250965793,8.64343824636824,8.297071178624487,8.446910294112111,8.961779524340246,9.442635734127073,9.290435527508967,9.375546822389182,9.275756910413726,9.772493256776956,8.694047122967818,8.568744459349292,8.798471093228244,9.292338936813174,9.20242531287389,9.685721093119785,9.76160939796513,9.525316669871279,9.694012407980631,7.897582405560448,8.394848246512376,8.690963193563372,9.115602897668442,9.255161543925507,8.861102404796759,9.510965218257954,9.349888945135605,9.663290675118803
SPAC227.16c,7.297147873754458,7.353913387333269,7.110261898406362,7.891267979013204,7.424415202863287,7.591581032265843,6.974062959620127,6.950563548899099,6.946472563292304,6.960365767110796,7.115321990816402,7.175465137807185,7.232014832693095,7.245408742200093,7.721684905397669,7.528548046145298,7.7111989771137335,7.4071755116090685,7.269728114340793,6.942387266241848,7.263691098200138,7.3777994343071915,7.197155236667254,7.393734388369652,7.12030314017802,6.810715665040598,7.181112730893574,7.332321217223242,7.0899449610852034,7.427747301449376,7.5626083671164395,7.326601931747055,7.529584296137726,7.743871583491642,7.536496215066641,7.52307929443358
SPAC2F7.04,7.780497282046691,7.9357673470216845,7.93518570666467,6.779141902902782,7.058673781006858,6.778967437298016,6.689198627402896,7.396827731566216,7.214228188915498,7.807083675269778,7.499578365799094,7.744910227796108,7.715531906269651,7.922248453663445,7.9591329221314435,8.094137474783007,7.964397050074171,8.214350919370233,7.459581053832451,7.699015319641404,7.993974285803551,7.42938265648251,7.31105342693094,7.125105547470583,6.756905383903337,6.782774402445898,7.214860025268879,7.572117258236944,7.992512297160894,8.04951618933415,7.871842948700423,7.733880580145685,7.727687195855643,7.675872823953391,7.629089638911407,8.262614327418436
SPNCRNA.660,5.073040253174138,5.209918438671852,5.382955239319133,4.856476590814418,5.001034037396639,4.655393656425447,5.210034920327164,5.004440202230592,5.602651592034762,5.314904829112042,5.343028585323391,5.092714894217346,5.211937119618925,5.477220351102515,5.5313754970873195,5.091315792966412,5.345335809962716,5.630895561688926,5.362165849662621,5.234848426216813,5.016754862402789,5.104230670871963,5.043375617272658,5.39908365173907,4.787700576915933,5.707657248299296,5.5951449938818305,5.158486268573523,5.763117282695803,5.296538475977946,5.187314758451892,5.416579332928842,5.610267759198796,5.724253866491506,4.900431435709825,5.5490248569205
SPNCRNA.661,5.825401602394308,5.923909615675156,5.963485961460638,6.57550996206899,5.5018812932637795,5.879157238083344,5.124921248523435,5.754957701611676,5.98005819599757,5.618073820592432,5.343028585323391,5.613297083506279,5.770048123491671,5.647456549770378,5.578230449508742,5.192916001963254,5.628422559409438,5.347373022319406,6.005709380499043,6.076375832561374,6.052923422721651,5.517705149214338,5.377455189073962,5.020295703014313,5.245096940108957,5.030815595250093,5.365228663050455,5.452218616089963,5.656272273359807,5.502218263443638,5.918890354129109,5.876586816032437,5.663494544753585,5.994279374215128,5.524212903082466,5.334119112668888
SPAC2F7.13c,10.936114693346246,10.907495883610855,10.825033644722787,11.028479507920327,10.923158396061268,11.136395831471399,10.560043819167426,10.514520807832534,10.523587998625963,10.316120340354109,10.577209116649708,10.447849702869501,10.741969841015205,10.640374827054922,10.685952220830448,10.618455310554411,10.467364831509334,10.569027884640276,10.87063290637274,10.830190828822245,10.919883343188822,10.997089381134373,10.944631776226501,11.00009489767638,10.685048136667394,10.73985444981106,10.585715630609986,10.35403185356755,10.12279322678239,10.271733964081976,10.58807102118835,10.478727162624379,10.726798094453388,10.69884162271352,10.658315991706468,10.774767720326446
